#node,      x,       A,     rho,       V,       T,       P,       M
    1,  0.000,   5.950,   1.000,   0.078,   1.000,   1.000,   0.078
    2,  0.100,   5.312,   0.998,   0.088,   0.999,   0.997,   0.088
    3,  0.200,   4.718,   0.998,   0.099,   0.999,   0.997,   0.099
    4,  0.300,   4.168,   0.996,   0.112,   0.998,   0.994,   0.113
    5,  0.400,   3.662,   0.994,   0.128,   0.998,   0.992,   0.128
    6,  0.500,   3.200,   0.992,   0.147,   0.997,   0.989,   0.147
    7,  0.600,   2.782,   0.988,   0.169,   0.995,   0.984,   0.170
    8,  0.700,   2.408,   0.984,   0.196,   0.993,   0.977,   0.197
    9,  0.800,   2.078,   0.977,   0.229,   0.991,   0.968,   0.230
   10,  0.900,   1.792,   0.968,   0.268,   0.987,   0.955,   0.269
   11,  1.000,   1.550,   0.955,   0.313,   0.982,   0.937,   0.316
   12,  1.100,   1.352,   0.938,   0.366,   0.975,   0.914,   0.370
   13,  1.200,   1.198,   0.916,   0.423,   0.966,   0.885,   0.430
   14,  1.300,   1.088,   0.893,   0.478,   0.956,   0.853,   0.489
   15,  1.400,   1.022,   0.871,   0.523,   0.946,   0.825,   0.537
   16,  1.500,   1.000,   0.862,   0.541,   0.942,   0.812,   0.557
   17,  1.600,   1.002,   0.863,   0.538,   0.943,   0.814,   0.554
   18,  1.700,   1.009,   0.866,   0.534,   0.944,   0.817,   0.549
   19,  1.800,   1.020,   0.870,   0.525,   0.946,   0.823,   0.540
   20,  1.900,   1.036,   0.875,   0.514,   0.948,   0.830,   0.528
   21,  2.000,   1.056,   0.882,   0.501,   0.951,   0.838,   0.513
   22,  2.100,   1.080,   0.888,   0.486,   0.954,   0.847,   0.497
   23,  2.200,   1.109,   0.896,   0.469,   0.957,   0.857,   0.479
   24,  2.300,   1.142,   0.903,   0.451,   0.960,   0.867,   0.461
   25,  2.400,   1.180,   0.911,   0.433,   0.963,   0.878,   0.441
   26,  2.500,   1.222,   0.918,   0.415,   0.966,   0.888,   0.422
   27,  2.600,   1.269,   0.925,   0.397,   0.970,   0.897,   0.403
   28,  2.700,   1.320,   0.932,   0.379,   0.972,   0.906,   0.384
   29,  2.800,   1.376,   0.938,   0.361,   0.975,   0.915,   0.365
   30,  2.900,   1.436,   0.945,   0.344,   0.977,   0.923,   0.348
   31,  3.000,   1.500,   0.949,   0.327,   0.980,   0.930,   0.330
